id,x,y,z,description,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
goal_corner_1,52.5,-3.66,0,Goal corner 1,1123  429,1117  431,1118  432,1119  434,1112  434,1111  434,1112  432,1107  432,1104  433,1106  434,1100  435,1097  433,1091  433,1087  436,1082  436,1078  435,1068  438,1059  438,1052  437,1043  435,1036  433,1031  436,1021  435,1017  436,1006  437,1006  438,992  443,988  442,977  437
goal_corner_2,52.5,3.66,0,Goal corner 2,944  397,946  396,944  399,940  401,941  397,941  400,939  401,937   401,935  397,934  402,927  401,924  402,918  402,915  405,911  405,901  399,894  404,884  403,877  404,867  405,859  403,850  401,840  401,832  400,821  404,804  403,799  405,787  406,777  405
goal_corner_3,52.5,-3.66,2.44,Goal corner 3,1123  336,1121  335,1123  335,1121  333,1121  334,1118  331,1115  333,1114  333,1111  336,1106  342,1103  336,1100  338,1093  335,1090  338,1081  337,1078  339,1072  338,1065  336,1057  334,1049  337,1042  336,1035  335,1027  334,1022  334,1019  330,1002  327,997  329,989  331,983  326
goal_corner_4,52.5,3.66,2.44,Goal corner 4,944  314,948  312,947  313,949  309,945  311,943  311,943  314,941  313,938  309,934  315,929  314,927  315,922  315,917  314,911  315,902  316,896  309,888  313,880  312,869  313,859  311,853  312,841  308,831  304,823  308,808  304,801  302,790  308,780  301
penalty_corner_1,52.5,-20.16,0,Penalty area corner 1 (right),/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
penalty_corner_2,52.5,20.16,0,Penalty area corner 2 (right),644  344,641  338,640  341,643  344,635  340,636  339,636  346,633  345,630  341,624  344,625  344,620  342,613  345,606  347,600  341,601  347,580  345,574  346,567  342,554  347,538  346,520  341,509  342,493  341,482  342,461  344,446  344,432  342,414  337
penalty_corner_3,36,20.16,0,Penalty area corner 3 (right),166  369,171  371,170  372,163  370,158  369,161  370,162  372,160  375,158  373,155  373,153  375,145  373,141  375,138  378,128  372,118  373,101  374,89  378,64  375,50  377,33  381,17  378,6  380,0  380,/,/,/,/,/
penalty_corner_4,36,-20.16,0,Penalty area corner 4 (right),983  596,986  593,989  596,987  565,980  595,988  599,976  595,977  593,975  593,971  587,968  598,959  596,957  599,950  599,947  598,939  600,934  603,924  602,917  601,905  608,901  602,894  614,881  617,867  612,861  623,848  624,839  630,834  630,818  635
goal_area_corner_1,52.5,-9.16,0,Goal area corner 1 (right),1263  457,1259  458,1262  458,1263  458,1262  453,1253  457,1256  457,1254  459,1251  456,1246  458,1241  459,1239  459,1230  460,1228  458,1226  461,1221  462,1215  461,1207  461,1199  460,1195  461,1185  461,1185  464,1178  468,1168  464,1169  466,1157  470,1152  467,1146  469,1141  439
goal_area_corner_2,52.5,9.16,0,Goal area corner 2 (right),837  337,834  379,832  343,830  379,830  377,827  377,824  377,824  377,821  379,818  379,816  382,813  379,806  382,805  382,792  382,787  378,779  381,774  380,764  375,754  385,742  383,727  381,719  381,708  380,694  379,685  380,675  381,663  381,650  380
goal_area_corner_3,47,9.16,0,Goal area corner 3 (right),674  390,682  390,678  388,678  386,677  392,673  391,675  391,672  390,672  391,668  390,663  390,657  391,655  394,649  393,649  396,635  393,629  397,614  396,603  394,595  394,584  394,573  399,558  395,553  396,541  396,530  396,503  393,482  389,463  395
goal_area_corner_4,47,-9.16,0,Goal area corner 4 (right),1088  475,1082  477,1081  473,1084  473,1075  477,1077  477,1078  472,1069  472,1068  477,1065  473,1061  478,1058  476,1052  479,1049  479,1045  477,1040  478,1031  479,1027  480,1019  476,1004  480,998  481,998  483,982  486,973  481,961  484,962  490,947  488,939  491,930  492
soccer,,,,,328  493,392  466,433  448,472  431,515  418,555  404,592  391,621  383,656  373,695  362,723  356,750  350,775  345,802  341,842  341,841  336,861  334,879  333,897  329,913  331,930  333,946  336,961  336,977  339,988  344,1003  349,1013  350,1030  356,1037  351
